"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
695578,"Wood, James",382,0.8822170900692841,266,"75.473886466",0.5759162303664922,0.3458646616541353,0.24083769633507854,0.22932330827067668,0.15968586387434555,"7.651296492",19,-12.672593616996384,116,0.3036649214659686,138,0.3612565445026178
663586,"Riley, Austin",292,0.863905325443787,207,"75.295864829",0.5068493150684932,0.2753623188405797,0.1952054794520548,0.15942028985507245,0.11301369863013698,"7.583829829",10,-13.808674002489134,85,0.2910958904109589,97,0.3321917808219178
660670,"Acuña Jr., Ronald",256,0.8858131487889274,184,"75.264853398",0.56640625,0.27717391304347827,0.19921875,0.19021739130434784,0.13671875,"7.488095391",6,-4.6495294759872,72,0.28125,87,0.33984375
673357,"Robert Jr., Luis",209,0.8818565400843882,150,"75.148005646",0.5119617224880383,0.24,0.1722488038277512,0.14,0.10047846889952153,"7.819127273",9,-6.839651149592379,59,0.2822966507177033,65,0.31100478468899523
682985,"Greene, Riley",468,0.8698884758364313,324,"75.082974872",0.49786324786324776,0.25617283950617287,0.17735042735042736,0.13271604938271606,0.09188034188034189,"7.271781261",3,-15.53926157942161,144,0.3076923076923077,139,0.297008547008547
669065,"Stowers, Kyle",238,0.8717948717948718,158,"74.829016723",0.4915966386554622,0.35443037974683544,0.23529411764705882,0.21518987341772153,0.14285714285714285,"6.713925",11,2.0636102362377597,80,0.33613445378151263,77,0.3235294117647059
683002,"Henderson, Gunnar",372,0.8878281622911695,291,"74.802191371",0.478494623655914,0.3161512027491409,0.24731182795698925,0.19243986254295534,0.15053763440860216,"7.197775538",9,-9.201669041667344,81,0.21774193548387097,146,0.3924731182795699
682663,"Ramírez, Agustín",303,0.8938053097345132,241,"74.761550891",0.524752475247525,0.35269709543568467,0.28052805280528054,0.24896265560165975,0.19801980198019803,"7.43403066",8,-6.567706569835021,62,0.20462046204620463,135,0.44554455445544555
624413,"Alonso, Pete",444,0.8951612903225806,337,"74.70768536",0.47072072072072074,0.35014836795252224,0.26576576576576577,0.21068249258160238,0.15990990990990991,"7.06763455",4,-3.7662844307350682,107,0.240990990990991,155,0.3490990990990991
680718,"Barger, Addison",311,0.8614958448753463,239,"74.704545048",0.5016077170418006,0.29707112970711297,0.2282958199356913,0.19246861924686193,0.14790996784565916,"7.508406367",2,-4.944071295990552,72,0.2315112540192926,115,0.36977491961414793
575929,"Contreras, Willson",320,0.8533333333333334,230,"74.696990125",0.46875000000000006,0.3347826086956522,0.240625,0.21739130434782608,0.15625,"7.810961875",3,1.7343313665147253,90,0.28125,115,0.359375
660821,"Sánchez, Jesús",282,0.8730650154798761,213,"74.602183936",0.5,0.29577464788732394,0.22340425531914893,0.1643192488262911,0.12411347517730496,"6.792214007",4,-10.330977243777216,69,0.24468085106382978,112,0.3971631205673759
680776,"Duran, Jarren",368,0.8699763593380615,255,"74.580306658",0.4728260869565217,0.30196078431372547,0.20923913043478262,0.16470588235294117,0.11413043478260869,"7.480459375",10,-10.006692463244889,113,0.3070652173913043,132,0.358695652173913
686948,"Baldwin, Drake",269,0.8354037267080745,226,"74.483980781",0.47211895910780666,0.35398230088495575,0.29739776951672864,0.18584070796460178,0.15613382899628253,"7.328457621",0,14.012815777291895,43,0.15985130111524162,115,0.4275092936802974
672356,"Arias, Gabriel",325,0.9103641456582633,201,"74.250509385",0.4369230769230769,0.29850746268656714,0.18461538461538463,0.1791044776119403,0.11076923076923077,"7.548837015",7,-15.931823442874663,124,0.38153846153846155,88,0.27076923076923076
657757,"Sheets, Gavin",388,0.8622222222222222,325,"74.231557423",0.45618556701030927,0.3569230769230769,0.29896907216494845,0.19076923076923077,0.15979381443298968,"7.621704639",10,-1.9696945490681896,63,0.16237113402061856,177,0.45618556701030927
663728,"Raleigh, Cal",454,0.8680688336520076,342,"74.160905727",0.42070484581497797,0.28654970760233917,0.21585903083700442,0.16374269005847952,0.12334801762114538,"7.775998304",9,-6.356133000143019,112,0.24669603524229075,144,0.31718061674008813
656305,"Chapman, Matt",313,0.8892045454545454,235,"74.13123754",0.415335463258786,0.2425531914893617,0.18210862619808307,0.14893617021276595,0.11182108626198083,"7.462123802",9,-9.822403044851393,78,0.24920127795527156,105,0.3354632587859425
660271,"Ohtani, Shohei",355,0.8142201834862385,248,"74.10177462",0.447887323943662,0.3870967741935484,0.2704225352112676,0.23387096774193547,0.16338028169014085,"7.911865915",7,10.44329996493525,107,0.30140845070422534,128,0.36056338028169016
621439,"Buxton, Byron",300,0.8356545961002786,214,"73.9982361",0.3766666666666667,0.32710280373831774,0.23333333333333334,0.19158878504672897,0.13666666666666666,"7.876685533",8,6.925388360501314,86,0.2866666666666667,107,0.3566666666666667
671739,"Harris II, Michael",368,0.8720379146919431,278,"73.987087554",0.35597826086956524,0.2589928057553957,0.1956521739130435,0.14388489208633093,0.10869565217391304,"8.085476332",9,-9.802764682572306,90,0.24456521739130435,138,0.375
683146,"Baty, Brett",262,0.8590163934426229,203,"73.981468855",0.3778625954198474,0.32019704433497537,0.2480916030534351,0.15270935960591134,0.1183206106870229,"7.304046832",5,-7.988681027207605,59,0.22519083969465647,108,0.4122137404580153
669394,"Burger, Jake",218,0.8515625,164,"73.879986239",0.38990825688073394,0.3048780487804878,0.22935779816513763,0.17073170731707318,0.12844036697247707,"7.401785642",5,-12.722835083539824,54,0.24770642201834864,81,0.37155963302752293
663624,"Mountcastle, Ryan",252,0.8689655172413793,185,"73.857609167",0.38492063492063494,0.2864864864864865,0.21031746031746032,0.13513513513513514,0.0992063492063492,"7.424664127",4,-3.9903303679531756,67,0.26587301587301587,92,0.36507936507936506
682998,"Carroll, Corbin",391,0.8786516853932584,297,"73.808504501",0.34526854219948855,0.29292929292929293,0.22250639386189258,0.1750841750841751,0.1329923273657289,"7.292987877",6,-16.043836625030778,94,0.24040920716112532,134,0.34271099744245526
701358,"Smith, Cam",357,0.8880597014925373,267,"73.763431961",0.39215686274509803,0.26217228464419473,0.19607843137254902,0.16104868913857678,0.12044817927170869,"7.296976919",6,-8.573838056727043,90,0.25210084033613445,126,0.35294117647058826
